"id","submitdate","lastpage","startlanguage","seed","refurl","G01Q18","proceed","G01Q01[SQ001]","G01Q01[SQ002]","G01Q01[SQ003]","G01Q02","G01Q03[SQ001]","G01Q03[SQ002]","G01Q03[SQ005]","G01Q03[SQ003]","G01Q03[SQ004]","G01Q03[SQ006]","G01Q04","G01Q05","G01Q06","G02Q07","G01Q08[SQ001]","G01Q08[SQ002]","G01Q08[SQ003]","G01Q08[other]","G02Q09[SQ001]","G02Q09[SQ002]","G02Q09[SQ003]","G02Q09[SQ004]","G02Q09[SQ005]","G02Q09[SQ009]","G02Q09[SQ006]","G02Q09[SQ007]","G02Q09[SQ008]","G02Q09[other]","G02Q10[SQ001]","G02Q10[SQ002]","G02Q10[SQ003]","G02Q10[SQ004]","G02Q10[SQ005]","G02Q10[SQ008]","G02Q10[SQ006]","G02Q10[SQ007]","G03Q11[SQ001]","G03Q11[SQ002]","G03Q11[SQ003]","G03Q11[SQ004]","G03Q11[other]","G03Q12[SQ001]","G03Q12[SQ002]","G03Q12[SQ003]","G03Q12[SQ004]","G03Q13[SQ001]","G03Q13[SQ002]","G03Q13[SQ003]","G05Q16[SQ001]","G05Q16[SQ002]","G05Q16[SQ007]","G05Q16[SQ008]","G05Q16[SQ003]","G05Q16[SQ004]","G05Q16[SQ005]","G05Q16[SQ006]","G04Q14[SQ001]","G04Q14[SQ002]","G04Q14[SQ003]","G04Q14[SQ004]","G04Q14[SQ005]","G04Q14[SQ006]","G01Q15[SQ001]","G01Q15[SQ002]","G01Q15[SQ003]","G01Q15[SQ004]","G01Q15[SQ005]","G01Q15[SQ006]","G01Q15[SQ007]","G01Q15[SQ008]","G01Q15[SQ009]","G01Q15[SQ010]","G05Q22[SQ001]","G05Q22[SQ002]","G05Q22[SQ003]","G05Q22[SQ004]","G05Q22[SQ005]","G05Q22[SQ006]","G05Q22[SQ007]","G05Q22[SQ008]","G05Q22[SQ009]","G05Q22[SQ010]","G06Q17","G06Q17[other]","G07Q20","G01Q21[SQ001]","G01Q21[SQ002]","G01Q21[SQ003]","G01Q21[SQ004]","G01Q21[SQ005]","G01Q21[SQ006]","G01Q21[SQ007]","interviewtime","groupTime1719","G01Q18Time","proceedTime","groupTime1713","G01Q01Time","G01Q02Time","G01Q03Time","G01Q04Time","G01Q05Time","G01Q06Time","groupTime1714","G02Q07Time","G01Q08Time","G02Q09Time","G02Q10Time","groupTime1715","G03Q11Time","G03Q12Time","G03Q13Time","G05Q16Time","groupTime1716","G04Q14Time","G01Q15Time","groupTime1720","G05Q22Time","groupTime1718","G06Q17Time","G07Q20Time","G01Q21Time"
"19","1980-01-01 00:00:00","7","en","1037564422","","","Yes","Yes","No","No","5 to 10 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Sometimes","Yes","No","Yes","","No","No","Yes","Yes","No","No","No","Yes","No","","1 (Not Severe at All)","3 (Mild)","3 (Mild)","3 (Mild)","6 (Very Severe)","3 (Mild)","1 (Not Severe at All)","4 (Moderate)","No","No","No","Yes","","Neutral","Agree","Strongly disagree","Strongly agree","Completely","Completely","Not at all","Often","Often","Never","Often","Rarely","Rarely","Rarely","Rarely","Agree","Strongly disagree","Neutral","Strongly disagree","Neutral","Disagree","","","","","","","","","","","","","","","","","","","","","Female","","Under 18 years old","Yes","No","No","No","No","No","No","200.77","5.4",,,"35.56",,,,,,,"47.27",,,,,"71.56",,,,,"28.03",,,"4.75",,"8.2",,,
"20","1980-01-01 00:00:00","7","en","539558068","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Always","No","No","No","","No","No","No","No","No","No","No","No","Yes","","5 (Severe)","5 (Severe)","5 (Severe)","6 (Very Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","3 (Mild)","No","No","No","Yes","","Neutral","Agree","Neutral","Strongly disagree","Slightly","Not at all","Not at all","Often","Often","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Agree","Disagree","Neutral","Neutral","Agree","Disagree","","","","","","","","","","","","","","","","","","","","","Male","","Over 35 years old","Yes","No","No","No","No","No","No","335.26","7.38",,,"34.84",,,,,,,"109.47",,,,,"93.6",,,,,"44.87",,,"30.3",,"14.8",,,
"21","1980-01-01 00:00:00","7","en","1484269757","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Often","Yes","Yes","Yes","","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","5 (Severe)","Yes","No","Yes","No","","Neutral","Strongly agree","Strongly disagree","Disagree","Significantly","Not at all","Not at all","Always","Always","Sometimes","Rarely","Often","Sometimes","Never","Never","Strongly agree","Agree","Disagree","Disagree","Strongly agree","Neutral","""ah a pick me voice"" (me)","""shut up bitch"" (me)","""go back to the kitchen"" (me)","""go make me a sandwich"" (me)","""blind whore"" (me)","""why are you forcing your voice"" (me)","""you're probably fat irl"" (me)","""boosted fuck""","""cancer whore go die""","""i can boost you for some pics""","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","1253.34","10.72",,,"55.14",,,,,,,"195.56",,,,,"373.04",,,,,"573.63",,,"32.15",,"13.1",,,
"22","1980-01-01 00:00:00","7","en","796733478","","","Yes","Yes","No","No","Less than 5 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","Sometimes","Yes","Yes","No","","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","","5 (Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","Yes","No","Yes","No","","Disagree","Agree","Strongly disagree","Agree","Significantly","Moderately","Not at all","Always","Always","Rarely","Rarely","Rarely","Sometimes","Never","Never","Strongly agree","Strongly agree","Disagree","Strongly disagree","Disagree","Agree","(Me) Go back to the kitchen this is why females shouldn’t be gamers ","(Me) I hope you get raped, killed and pissed on your dead body","(Me) Supp is female let’s ff","(Me) You play like a girl ","(Me) spamming: „my name“ do you love me?? ","(Me) your boyfriend obviously boosted you","","","","","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","6 (Very Severe)","5 (Severe)","6 (Very Severe)","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","625.8","9.61",,,"35.08",,,,,,,"89.4",,,,,"91.64",,,,,"350.57",,,"29.64",,"19.86",,,
"23","1980-01-01 00:00:00","7","en","364539272","","","Yes","Yes","No","Yes","5 to 10 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Often","Yes","Yes","No","","Yes","No","Yes","Yes","Yes","No","No","Yes","No","","5 (Severe)","5 (Severe)","4 (Moderate)","5 (Severe)","3 (Mild)","3 (Mild)","7 (Extremely Severe)","4 (Moderate)","Yes","No","Yes","No","","Neutral","Agree","Neutral","Agree","Completely","Slightly","Not at all","Always","Always","Always","Always","Always","Always","Always","Always","Strongly agree","Agree","Disagree","Strongly disagree","Strongly agree","Agree","Vayne (a champion in ""lol"") is too hard for me because im a girl ","e-girl","kitten (both directed at me and else, with deragatory intent usually followed by word ""obey"")","slut, whore, bitch (both me and else)","stupid women (both me and else)","","","","","","4 (Moderate)","2 (Very Mild)","2 (Very Mild)","4 (Moderate)","4 (Moderate)","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","529.91","8.13",,,"31.69",,,,,,,"78.82",,,,,"68.04",,,,,"290.7",,,"41.34",,"11.19",,,
"25","1980-01-01 00:00:00","7","en","784221359","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Rarely","No","Yes","No","","No","No","Yes","No","No","No","No","No","No","","2 (Very Mild)","1 (Not Severe at All)","3 (Mild)","2 (Very Mild)","6 (Very Severe)","2 (Very Mild)","1 (Not Severe at All)","2 (Very Mild)","Yes","No","No","No","","Strongly agree","Disagree","Neutral","Agree","Completely","Not at all","Not at all","Always","Often","Rarely","Rarely","Rarely","Often","Never","Rarely","Agree","Neutral","Neutral","Neutral","Agree","Disagree","classic: Go to the kitchen","Shit egirl can´t play","Don´t wanna play anymore cause of this boosted egirl","Go play support u suck","","","","","","","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","","","","","","","Female","","25 - 35 years old","Yes","No","No","No","No","No","No","454.87","8.58",,,"56.24",,,,,,,"98.78",,,,,"120.78",,,,,"130.91",,,"17.4",,"22.18",,,
"28","1980-01-01 00:00:00","7","en","868158942","","","Yes","Yes","Yes","Yes","More than 20 hours","Yes","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Rarely","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Yes","Yes","No","No","","Strongly agree","Neutral","Strongly disagree","Disagree","Completely","Completely","Completely","Always","Always","Always","Always","Always","Always","Always","Always","Strongly agree","Agree","Agree","Disagree","Neutral","Disagree","Geh mal wieder in die Küche! (an mich und andere)","Mach mir mal ein Brot/Toast! (an mich und andere)","Geh Hello Kitty spielen! (an mich)","Kleines Kind! (an mich und andere)","Nimm ihn in den Mund! (an mich)","Gib mal Snapchat! (an mich und andere im unpassenden Kontext)","Gib mal Onlyfans! (an mich)","Schlampe! (an mich und andere)","Pick me girl! (an mich und andere)","Frauen können nicht so gut spielen wie Männer! (an mich)","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","7 (Extremely Severe)","5 (Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","928.42","6.19",,,"67.4",,,,,,,"107.34",,,,,"144.19",,,,,"546",,,"25.55",,"31.75",,,
"29","1980-01-01 00:00:00","7","en","919652967","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Sometimes","Yes","No","Yes","","No","No","Yes","No","Yes","No","No","No","No","","5 (Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Yes","No","No","No","","Neutral","Neutral","Disagree","Disagree","Significantly","Slightly","Slightly","Always","Always","Often","Often","Always","Always","Rarely","Rarely","Agree","Agree","Neutral","Disagree","Agree","Neutral","Geh zurück in die Küche. (else)","Mach mir ein Toast. (else)","","","","","","","","","3 (Mild)","3 (Mild)","","","","","","","","","Female","","25 - 35 years old","Yes","No","No","No","No","No","No","1159.52","9.48",,,"106.9",,,,,,,"305.03",,,,,"270.24",,,,,"388.2",,,"12.07",,"67.6",,,
"30","1980-01-01 00:00:00","7","en","546467387","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Not involved (""just"" playing)","No","Somewhat, I identify as a gamer in certain contexts.","Sometimes","Yes","Yes","No","","No","No","Yes","No","No","Yes","No","No","No","","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","4 (Moderate)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","No","No","No","Yes","","Neutral","Agree","Strongly disagree","Agree","Completely","Significantly","Moderately","Always","Always","Rarely","Rarely","Often","Often","Never","Never","Agree","Agree","Neutral","Disagree","Agree","Disagree","When playing bad, people would assume I was a girl","Flirtatious comments to me or my friends whenever we would disclose that we are girls","sexual comments towards me or my friends","","","","","","","","4 (Moderate)","5 (Severe)","6 (Very Severe)","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","636.28","29.36",,,"55.99",,,,,,,"89.48",,,,,"118.06",,,,,"311.32",,,"18.48",,"13.59",,,
"33","1980-01-01 00:00:00","7","en","886951272","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Sometimes","No","No","Yes","","Yes","No","Yes","Yes","Yes","No","No","No","No","","5 (Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Yes","No","Yes","No","","Agree","Strongly agree","Neutral","Strongly agree","Completely","Completely","Completely","Always","Always","Always","Always","Always","Always","Always","Always","Strongly agree","Strongly agree","Disagree","Strongly disagree","Agree","Agree","*barking*","return to the kitchen","slut hoe whore ","","","","","","","","3 (Mild)","5 (Severe)","6 (Very Severe)","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","256.64","5.17",,,"34.64",,,,,,,"68.77",,,,,"55.88",,,,,"67.69",,,"14.64",,"9.85",,,
"36","1980-01-01 00:00:00","7","en","1561682415","","","Yes","Yes","No","No","Less than 5 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Sometimes","No","No","No","","No","No","No","No","No","No","No","No","Yes","","5 (Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","2 (Very Mild)","3 (Mild)","7 (Extremely Severe)","5 (Severe)","No","No","No","Yes","","Strongly agree","Strongly disagree","Agree","Strongly disagree","Not at all","Not at all","Not at all","Sometimes","Rarely","Often","Often","Often","Often","Often","Always","Agree","Neutral","Neutral","Disagree","Neutral","Strongly disagree","","","","","","","","","","","","","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","228.73","21.26",,,"22.55",,,,,,,"74.66",,,,,"61.62",,,,,"29.09",,,"9.23",,"10.32",,,
