"id","submitdate","lastpage","startlanguage","seed","G01Q18","proceed","second","G01Q01[SQ001]","G01Q01[SQ002]","G01Q02","G01Q03[SQ001]","G01Q03[SQ002]","G01Q03[SQ005]","G01Q03[SQ003]","G01Q03[SQ006]","G01Q04","G01Q05","G01Q06","G03Q20","G01Q32","G03Q13","G02Q10[SQ001]","G02Q10[SQ002]","G02Q10[SQ003]","G02Q10[SQ004]","G02Q10[SQ005]","G02Q10[SQ008]","G02Q10[SQ006]","G02Q10[SQ007]","G03Q12[SQ001]","G03Q12[SQ005]","G03Q12[SQ002]","G03Q12[SQ003]","G03Q12[SQ004]","G05Q16[SQ001]","G05Q16[SQ002]","G05Q16[SQ007]","G05Q16[SQ008]","G05Q16[SQ003]","G05Q16[SQ004]","G05Q16[SQ006]","G04Q14[SQ001]","G04Q14[SQ002]","G04Q14[SQ003]","G04Q14[SQ004]","G04Q14[SQ005]","G04Q14[SQ007]","G04Q14[SQ006]","G05Q19","G04Q17[SQ001][1]","G04Q17[SQ001][2]","G04Q17[SQ002][1]","G04Q17[SQ002][2]","G04Q17[SQ003][1]","G04Q17[SQ003][2]","G04Q17[SQ004][1]","G04Q17[SQ004][2]","G04Q17[SQ005][1]","G04Q17[SQ005][2]","G04Q17[SQ006][1]","G04Q17[SQ006][2]","G04Q17[SQ007][1]","G04Q17[SQ007][2]","G04Q17[SQ008][1]","G04Q17[SQ008][2]","G04Q17[SQ009][1]","G04Q17[SQ009][2]","G04Q17[SQ010][1]","G04Q17[SQ010][2]","G04Q17[SQ011][1]","G04Q17[SQ011][2]","G04Q17[SQ012][1]","G04Q17[SQ012][2]","G04Q17[SQ013][1]","G04Q17[SQ013][2]","G04Q17[SQ014][1]","G04Q17[SQ014][2]","G06Q17","G06Q17[other]","G07Q20","G01Q21[SQ001]","G01Q21[SQ002]","G01Q21[SQ003]","G01Q21[SQ004]","G01Q21[SQ005]","G01Q21[SQ007]"
"30","1980-01-01 00:00:00","6","en","1229567909","","Yes","No","Yes","No","More than 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Controller","Silver-Gold","","6 (Very Severe)","6 (Very Severe)","5 (Severe)","4 (Moderate)","5 (Severe)","3 (Mild)","6 (Very Severe)","4 (Moderate)","Agree","Neutral","Disagree","Disagree","Agree","Always","Often","Rarely","Rarely","Always","Always","","Strongly disagree","Agree","Agree","Disagree","Disagree","Neutral","Agree","","1 (Not Severe at All)","Real","3 (Mild)","Real","3 (Mild)","Real","7 (Extremely Severe)","Not Real","4 (Moderate)","Real","4 (Moderate)","Not Real","5 (Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Not Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Not Real","5 (Severe)","Real","4 (Moderate)","Not Real","4 (Moderate)","Real","Male","","Under 18 years old","Yes","No","No","No","No","No"
"32","1980-01-01 00:00:00","6","en","782427684","","Yes","No","Yes","No","5 to 10 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Controller","I don't play ranked.","","5 (Severe)","2 (Very Mild)","4 (Moderate)","4 (Moderate)","2 (Very Mild)","5 (Severe)","7 (Extremely Severe)","1 (Not Severe at All)","Agree","Neutral","Strongly disagree","Agree","Disagree","Always","Always","Never","Never","Always","Always","Never","Strongly disagree","Disagree","Strongly disagree","Agree","Strongly disagree","Neutral","Strongly agree","","1 (Not Severe at All)","","5 (Severe)","","5 (Severe)","","6 (Very Severe)","","3 (Mild)","","2 (Very Mild)","","1 (Not Severe at All)","","5 (Severe)","","6 (Very Severe)","","5 (Severe)","","7 (Extremely Severe)","","4 (Moderate)","","3 (Mild)","","2 (Very Mild)","","Male","","Under 18 years old","Yes","No","No","No","No","No"
"33","1980-01-01 00:00:00","6","en","1187062059","","Yes","No","Yes","No","5 to 10 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Duelist","I don't play ranked.","","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","4 (Moderate)","Agree","Agree","Disagree","Disagree","Agree","Often","Often","Sometimes","Sometimes","Often","Often","Never","Strongly disagree","Agree","Agree","Disagree","Neutral","Agree","Disagree","","4 (Moderate)","","4 (Moderate)","","4 (Moderate)","","6 (Very Severe)","","5 (Severe)","","5 (Severe)","","4 (Moderate)","","5 (Severe)","","5 (Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","6 (Very Severe)","","4 (Moderate)","","4 (Moderate)","","Male","","25 - 35 years old","No","No","No","Yes","No","No"
"34","1980-01-01 00:00:00","6","en","540324095","","Yes","No","Yes","No","Less than 5 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","Controller","Silver-Gold","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","Neutral","Strongly agree","Agree","Strongly disagree","Strongly agree","Sometimes","Always","Rarely","Rarely","Sometimes","Never","Never","Strongly disagree","Agree","Agree","Disagree","Strongly disagree","Strongly disagree","Agree","","4 (Moderate)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Not Real","3 (Mild)","Real","4 (Moderate)","Not Real","2 (Very Mild)","Real","5 (Severe)","Real","1 (Not Severe at All)","Not Real","3 (Mild)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Not Real","4 (Moderate)","Real","Male","","Under 18 years old","No","No","No","Yes","No","No"
"37","1980-01-01 00:00:00","6","en","1047861548","","Yes","No","Yes","No","5 to 10 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Duelist","Iron-Bronze","","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","2 (Very Mild)","2 (Very Mild)","2 (Very Mild)","1 (Not Severe at All)","1 (Not Severe at All)","Strongly agree","Agree","Strongly disagree","Strongly agree","Disagree","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Never","Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Strongly agree","","1 (Not Severe at All)","Real","2 (Very Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","3 (Mild)","Real","5 (Severe)","Not Real","5 (Severe)","Not Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","5 (Severe)","Real","Female","","18 - 25 years old","No","No","No","Yes","No","No"
"38","1980-01-01 00:00:00","6","en","1870161699","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Controller","Silver-Gold","","2 (Very Mild)","1 (Not Severe at All)","4 (Moderate)","4 (Moderate)","5 (Severe)","5 (Severe)","2 (Very Mild)","7 (Extremely Severe)","Neutral","Neutral","Disagree","Agree","Strongly agree","Rarely","Often","Rarely","Never","Sometimes","Rarely","Never","Strongly disagree","Agree","Agree","Neutral","Disagree","Neutral","Agree","","1 (Not Severe at All)","Real","2 (Very Mild)","Real","5 (Severe)","Not Real","5 (Severe)","Not Real","2 (Very Mild)","Real","","","3 (Mild)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Not Real","4 (Moderate)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"39","1980-01-01 00:00:00","6","en","1943972452","","Yes","No","Yes","No","5 to 10 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Initiator","Silver-Gold","","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","6 (Very Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","Neutral","Agree","Strongly agree","Disagree","Agree","Always","Always","Sometimes","Sometimes","Always","Often","Sometimes","Strongly disagree","Strongly agree","Agree","Disagree","Agree","Strongly disagree","Agree","","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Not Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Not Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","5 (Severe)","Real","Female","","18 - 25 years old","No","No","No","Yes","No","No"
"42","1980-01-01 00:00:00","6","en","298595872","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Not involved (""just"" playing)","No","No, I don't identify as a gamer, even though I play games.","Controller","Iron-Bronze","","5 (Severe)","4 (Moderate)","6 (Very Severe)","4 (Moderate)","3 (Mild)","1 (Not Severe at All)","7 (Extremely Severe)","1 (Not Severe at All)","Neutral","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Always","Always","Rarely","Never","Rarely","Never","Never","Strongly disagree","Agree","Neutral","Neutral","Strongly disagree","Strongly disagree","Agree","","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","2 (Very Mild)","Real","4 (Moderate)","Not Real","1 (Not Severe at All)","Real","3 (Mild)","Real","2 (Very Mild)","Real","2 (Very Mild)","Not Real","2 (Very Mild)","Real","2 (Very Mild)","Real","6 (Very Severe)","Real","1 (Not Severe at All)","Real","1 (Not Severe at All)","Not Real","3 (Mild)","Real","Male","","18 - 25 years old","No","No","No","Yes","No","No"
"44","1980-01-01 00:00:00","6","en","1525485758","","Yes","No","Yes","No","5 to 10 hours","No","Yes","No","No","No","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","Controller","Silver-Gold","","4 (Moderate)","1 (Not Severe at All)","6 (Very Severe)","4 (Moderate)","7 (Extremely Severe)","4 (Moderate)","2 (Very Mild)","5 (Severe)","Strongly disagree","Strongly agree","Neutral","Disagree","Strongly agree","Always","Always","Sometimes","Rarely","Often","Often","Never","Strongly disagree","Strongly agree","Agree","Agree","Disagree","Neutral","Strongly agree","","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","5 (Severe)","Real","4 (Moderate)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","3 (Mild)","Real","3 (Mild)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","Male","","25 - 35 years old","No","No","No","Yes","No","No"
"46","1980-01-01 00:00:00","6","en","730622661","","Yes","No","Yes","No","5 to 10 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Initiator","Silver-Gold","","5 (Severe)","4 (Moderate)","4 (Moderate)","5 (Severe)","5 (Severe)","6 (Very Severe)","4 (Moderate)","5 (Severe)","Agree","Agree","Agree","Neutral","Strongly agree","Always","Often","Sometimes","Sometimes","Always","Always","Sometimes","Disagree","Agree","Agree","Neutral","Disagree","Neutral","Agree","","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","3 (Mild)","Not Real","5 (Severe)","Real","3 (Mild)","Not Real","4 (Moderate)","Not Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Not Real","5 (Severe)","Real","Non-binary","","18 - 25 years old","Yes","No","No","No","No","No"
"47","1980-01-01 00:00:00","6","en","2028347795","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","Initiator","Ascendant-Immortal1","","3 (Mild)","3 (Mild)","4 (Moderate)","3 (Mild)","2 (Very Mild)","3 (Mild)","4 (Moderate)","2 (Very Mild)","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Always","Often","Rarely","Rarely","Often","Often","Sometimes","Disagree","Strongly agree","Neutral","Agree","Strongly disagree","Neutral","Strongly agree","","3 (Mild)","Real","3 (Mild)","Real","3 (Mild)","Real","3 (Mild)","Real","2 (Very Mild)","Real","1 (Not Severe at All)","Real","2 (Very Mild)","Real","3 (Mild)","Real","3 (Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","3 (Mild)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"50","1980-01-01 00:00:00","6","en","1162827623","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Initiator","Silver-Gold","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","Agree","Agree","Neutral","Disagree","Strongly agree","Often","Often","Never","Never","Often","Rarely","Never","Strongly disagree","Disagree","Agree","Disagree","Neutral","Agree","Neutral","","2 (Very Mild)","Real","3 (Mild)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","3 (Mild)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"51","1980-01-01 00:00:00","6","en","418866209","","Yes","No","No","Yes","5 to 10 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Controller","Iron-Bronze","","5 (Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","Agree","Strongly agree","Strongly disagree","Neutral","Agree","Often","Often","Always","Always","Always","Always","Always","Strongly disagree","Agree","Agree","Disagree","Neutral","Neutral","Agree","","4 (Moderate)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"52","1980-01-01 00:00:00","6","en","654448053","","Yes","No","Yes","No","More than 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","Sentinel","Platinum-Diamond","","5 (Severe)","4 (Moderate)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","3 (Mild)","4 (Moderate)","Neutral","Agree","Agree","Disagree","Agree","Often","Always","Sometimes","Often","Always","Often","Sometimes","Disagree","Neutral","Agree","Disagree","Disagree","Neutral","Agree","","4 (Moderate)","Real","3 (Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Real","2 (Very Mild)","Not Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","3 (Mild)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"54","1980-01-01 00:00:00","6","en","910025642","","Yes","No","Yes","No","More than 20 hours","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","Duelist","Ascendant-Immortal1","","5 (Severe)","1 (Not Severe at All)","5 (Severe)","4 (Moderate)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","Strongly agree","Agree","Strongly disagree","Disagree","Strongly disagree","Always","Always","Never","Never","Always","Always","Never","Strongly disagree","Strongly disagree","Neutral","Agree","Strongly disagree","Strongly agree","Strongly disagree","","3 (Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","2 (Very Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","7 (Extremely Severe)","","7 (Extremely Severe)","Real","3 (Mild)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","Male","","18 - 25 years old","No","No","No","Yes","No","No"
"55","1980-01-01 00:00:00","6","en","1091812707","","Yes","No","Yes","No","Less than 5 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Controller","Iron-Bronze","","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Neutral","Strongly agree","Disagree","Disagree","Agree","Always","Always","Often","Never","Often","Never","Never","Strongly disagree","Disagree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","","4 (Moderate)","Real","4 (Moderate)","Real","","","7 (Extremely Severe)","Real","2 (Very Mild)","Real","7 (Extremely Severe)","Real","5 (Severe)","","2 (Very Mild)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","Male","","Under 18 years old","Yes","No","No","No","No","No"
"56","1980-01-01 00:00:00","6","en","1688708987","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Not involved (""just"" playing)","Yes","Yes, I strongly identify as a gamer.","Controller","Silver-Gold","","5 (Severe)","2 (Very Mild)","5 (Severe)","5 (Severe)","5 (Severe)","2 (Very Mild)","2 (Very Mild)","5 (Severe)","Neutral","Strongly disagree","Strongly agree","Strongly disagree","Agree","Always","Always","Rarely","Rarely","Always","Always","Sometimes","Strongly disagree","Neutral","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly disagree","","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Not Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","4 (Moderate)","Real","Female","","25 - 35 years old","No","No","No","Yes","No","No"
"59","1980-01-01 00:00:00","6","en","543512477","","Yes","No","Yes","No","5 to 10 hours","No","No","Yes","Yes","No","Not involved (""just"" playing)","Yes","Somewhat, I identify as a gamer in certain contexts.","Controller","Platinum-Diamond","","5 (Severe)","5 (Severe)","6 (Very Severe)","6 (Very Severe)","4 (Moderate)","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","Neutral","Strongly agree","Agree","Strongly disagree","Strongly agree","Always","Always","Often","Often","Always","Always","Sometimes","Strongly disagree","Disagree","Agree","Disagree","Agree","Agree","Strongly disagree","","3 (Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","","","3 (Mild)","Real","5 (Severe)","Not Real","4 (Moderate)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","4 (Moderate)","Real","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"60","1980-01-01 00:00:00","6","en","517418406","","Yes","No","Yes","No","5 to 10 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","Controller","Platinum-Diamond","","4 (Moderate)","3 (Mild)","5 (Severe)","4 (Moderate)","4 (Moderate)","3 (Mild)","3 (Mild)","4 (Moderate)","Neutral","Strongly agree","Agree","Strongly disagree","Strongly agree","Always","Always","Never","Never","Always","Always","Never","Strongly disagree","Neutral","Strongly agree","Disagree","Agree","Agree","Neutral","","5 (Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Non-binary","","18 - 25 years old","No","No","No","Yes","No","No"
"61","1980-01-01 00:00:00","6","en","1434833068","","Yes","No","No","Yes","Less than 5 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Initiator","Iron-Bronze","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Strongly agree","Strongly agree","Strongly disagree","Neutral","Disagree","Always","Always","Never","Never","Often","Often","Never","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","","1 (Not Severe at All)","Real","4 (Moderate)","Real","6 (Very Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Not Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","","7 (Extremely Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","Male","","Under 18 years old","Yes","No","No","No","No","No"
"62","1980-01-01 00:00:00","6","en","1856007081","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","No, I don't identify as a gamer, even though I play games.","Controller","Silver-Gold","","4 (Moderate)","3 (Mild)","5 (Severe)","5 (Severe)","6 (Very Severe)","4 (Moderate)","2 (Very Mild)","7 (Extremely Severe)","Neutral","Strongly agree","Agree","Disagree","Agree","Always","Always","Sometimes","Rarely","Often","Often","Sometimes","Strongly disagree","Disagree","Agree","Disagree","Agree","Agree","Neutral","","3 (Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","3 (Mild)","Not Real","4 (Moderate)","Real","3 (Mild)","Not Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","Other","Complicated, like. trans but like in a girl thing way","18 - 25 years old","Yes","No","No","No","No","No"
"63","1980-01-01 00:00:00","6","en","703098772","","Yes","No","Yes","No","More than 20 hours","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","Controller","Ascendant-Immortal1","","6 (Very Severe)","6 (Very Severe)","5 (Severe)","7 (Extremely Severe)","4 (Moderate)","4 (Moderate)","7 (Extremely Severe)","3 (Mild)","Neutral","Strongly agree","Agree","Disagree","Strongly agree","Sometimes","Always","Often","Sometimes","Often","Always","Rarely","Strongly disagree","Neutral","Strongly agree","Disagree","Strongly agree","Agree","Agree","","3 (Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Real","3 (Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","Non-binary","","18 - 25 years old","Yes","No","No","No","No","No"
"65","1980-01-01 00:00:00","6","en","1084513574","","Yes","No","No","Yes","Less than 5 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Initiator","Iron-Bronze","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Strongly agree","Strongly agree","Disagree","Neutral","Disagree","Always","Always","Never","Never","Often","Often","Never","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","","3 (Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","","Not Real","5 (Severe)","Not Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Not Real","4 (Moderate)","Not Real","5 (Severe)","Real","Non-binary","","18 - 25 years old","Yes","No","No","No","No","No"
"66","1980-01-01 00:00:00","6","en","249880839","","Yes","No","Yes","No","More than 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Duelist","Ascendant-Immortal1","","4 (Moderate)","3 (Mild)","5 (Severe)","6 (Very Severe)","5 (Severe)","7 (Extremely Severe)","3 (Mild)","6 (Very Severe)","Neutral","Strongly agree","Disagree","Disagree","Agree","Always","Often","Rarely","Rarely","Sometimes","Sometimes","Never","Disagree","Disagree","Neutral","Disagree","Strongly disagree","Agree","Neutral","","3 (Mild)","Real","3 (Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Real","2 (Very Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Not Real","5 (Severe)","Real","5 (Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","3 (Mild)","Real","Male","","18 - 25 years old","No","No","No","Yes","No","No"
"69","1980-01-01 00:00:00","6","en","1155630624","","Yes","No","Yes","No","5 to 10 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Controller","Silver-Gold","","3 (Mild)","2 (Very Mild)","4 (Moderate)","4 (Moderate)","5 (Severe)","5 (Severe)","4 (Moderate)","5 (Severe)","Agree","Strongly agree","Agree","Disagree","Strongly agree","Often","Sometimes","Rarely","Rarely","Always","Always","Rarely","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Neutral","","3 (Mild)","Real","5 (Severe)","Not Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","4 (Moderate)","Not Real","6 (Very Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Not Real","6 (Very Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"71","1980-01-01 00:00:00","6","en","804733118","","Yes","No","Yes","No","More than 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Controller","Platinum-Diamond","","6 (Very Severe)","2 (Very Mild)","6 (Very Severe)","3 (Mild)","5 (Severe)","2 (Very Mild)","4 (Moderate)","5 (Severe)","Disagree","Strongly agree","Agree","Disagree","Agree","Always","Always","Often","Often","Always","Always","Sometimes","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Agree","Agree","Strongly disagree","","4 (Moderate)","Real","3 (Mild)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","3 (Mild)","Real","Female","","18 - 25 years old","No","No","No","Yes","No","No"
