"id","submitdate","lastpage","startlanguage","seed","G01Q18","proceed","second","G01Q01[SQ001]","G01Q01[SQ002]","G01Q01[SQ003]","G01Q02","G01Q03[SQ001]","G01Q03[SQ002]","G01Q03[SQ005]","G01Q03[SQ003]","G01Q03[SQ004]","G01Q03[SQ006]","G01Q04","G01Q05","G01Q06","G03Q13","G02Q10[SQ001]","G02Q10[SQ002]","G02Q10[SQ003]","G02Q10[SQ004]","G02Q10[SQ005]","G02Q10[SQ008]","G02Q10[SQ006]","G02Q10[SQ007]","G03Q12[SQ001]","G03Q12[SQ005]","G03Q12[SQ002]","G03Q12[SQ003]","G03Q12[SQ004]","G05Q16[SQ001]","G05Q16[SQ002]","G05Q16[SQ007]","G05Q16[SQ008]","G05Q16[SQ003]","G05Q16[SQ004]","G05Q16[SQ005]","G05Q16[SQ006]","G04Q14[SQ001]","G04Q14[SQ002]","G04Q14[SQ003]","G04Q14[SQ004]","G04Q14[SQ005]","G04Q14[SQ007]","G04Q14[SQ006]","G05Q19","G04Q17[SQ001][1]","G04Q17[SQ001][2]","G04Q17[SQ002][1]","G04Q17[SQ002][2]","G04Q17[SQ003][1]","G04Q17[SQ003][2]","G04Q17[SQ004][1]","G04Q17[SQ004][2]","G04Q17[SQ005][1]","G04Q17[SQ005][2]","G04Q17[SQ006][1]","G04Q17[SQ006][2]","G04Q17[SQ007][1]","G04Q17[SQ007][2]","G04Q17[SQ008][1]","G04Q17[SQ008][2]","G04Q17[SQ009][1]","G04Q17[SQ009][2]","G04Q17[SQ010][1]","G04Q17[SQ010][2]","G04Q17[SQ011][1]","G04Q17[SQ011][2]","G04Q17[SQ012][1]","G04Q17[SQ012][2]","G04Q17[SQ013][1]","G04Q17[SQ013][2]","G04Q17[SQ014][1]","G04Q17[SQ014][2]","G06Q17","G06Q17[other]","G07Q20","G01Q21[SQ001]","G01Q21[SQ002]","G01Q21[SQ003]","G01Q21[SQ004]","G01Q21[SQ005]","G01Q21[SQ007]"
"18","1980-01-01 00:00:00","6","en","1273713397","","Yes","Yes","No","No","No","","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1 (Not Severe at All)","","4 (Moderate)","","3 (Mild)","","4 (Moderate)","","3 (Mild)","","2 (Very Mild)","","3 (Mild)","","3 (Mild)","","5 (Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","5 (Severe)","","2 (Very Mild)","","5 (Severe)","","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"20","1980-01-01 00:00:00","6","en","2128824460","","Yes","Yes","No","No","No","","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4 (Moderate)","Real","4 (Moderate)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","","Not Real","5 (Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","","5 (Severe)","Real","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"21","1980-01-01 00:00:00","6","en","1061305822","","Yes","No","Yes","Yes","Yes","More than 20 hours","Yes","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","3 (Mild)","1 (Not Severe at All)","3 (Mild)","3 (Mild)","6 (Very Severe)","5 (Severe)","3 (Mild)","4 (Moderate)","Agree","Disagree","Strongly disagree","Agree","Neutral","Sometimes","Rarely","Often","Often","Often","Often","Rarely","Rarely","Disagree","Agree","Neutral","Strongly agree","Neutral","Agree","Neutral","","3 (Mild)","Real","","Real","4 (Moderate)","Real","5 (Severe)","Real","2 (Very Mild)","Real","5 (Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","3 (Mild)","Real","3 (Mild)","Real","6 (Very Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"22","1980-01-01 00:00:00","6","en","1887021230","","Yes","Yes","No","No","No","","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4 (Moderate)","","5 (Severe)","","5 (Severe)","","7 (Extremely Severe)","","4 (Moderate)","","6 (Very Severe)","","6 (Very Severe)","","5 (Severe)","","5 (Severe)","","6 (Very Severe)","","7 (Extremely Severe)","","6 (Very Severe)","","6 (Very Severe)","","6 (Very Severe)","","Female","","25 - 35 years old","Yes","No","No","No","No","No"
"24","1980-01-01 00:00:00","6","en","504138825","","Yes","No","Yes","No","No","More than 20 hours","Yes","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","5 (Severe)","3 (Mild)","5 (Severe)","5 (Severe)","2 (Very Mild)","3 (Mild)","6 (Very Severe)","1 (Not Severe at All)","Neutral","Neutral","Strongly disagree","Agree","Strongly disagree","Never","Rarely","Rarely","Never","Often","Rarely","Rarely","Rarely","Disagree","Neutral","Agree","Disagree","Disagree","Neutral","Strongly agree","","1 (Not Severe at All)","Not Real","2 (Very Mild)","Real","3 (Mild)","Real","4 (Moderate)","Real","3 (Mild)","Real","1 (Not Severe at All)","Not Real","2 (Very Mild)","Real","4 (Moderate)","Not Real","2 (Very Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","1 (Not Severe at All)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"25","1980-01-01 00:00:00","6","en","259485249","","Yes","No","Yes","No","No","10 to 20 hours","Yes","No","No","No","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","4 (Moderate)","5 (Severe)","7 (Extremely Severe)","3 (Mild)","Agree","Agree","Disagree","Disagree","Strongly agree","Rarely","Often","Sometimes","Sometimes","Often","Often","Rarely","Rarely","Disagree","Neutral","Disagree","Agree","Disagree","Neutral","Agree","","1 (Not Severe at All)","Real","3 (Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","2 (Very Mild)","Real","4 (Moderate)","Not Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Real","2 (Very Mild)","Real","3 (Mild)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"26","1980-01-01 00:00:00","6","en","2013867182","","Yes","No","Yes","Yes","No","10 to 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","","5 (Severe)","5 (Severe)","3 (Mild)","4 (Moderate)","3 (Mild)","2 (Very Mild)","6 (Very Severe)","1 (Not Severe at All)","Strongly disagree","Neutral","Neutral","Strongly disagree","Disagree","Rarely","Often","Always","Often","Rarely","Rarely","Often","Often","Agree","Neutral","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","Agree","","3 (Mild)","Real","3 (Mild)","Real","3 (Mild)","Not Real","5 (Severe)","Real","3 (Mild)","Real","1 (Not Severe at All)","Not Real","4 (Moderate)","Real","3 (Mild)","Real","3 (Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","2 (Very Mild)","Not Real","3 (Mild)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"28","1980-01-01 00:00:00","6","en","1700905465","","Yes","No","Yes","No","No","More than 20 hours","Yes","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","5 (Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","2 (Very Mild)","Agree","Strongly agree","Agree","Strongly disagree","Agree","Often","Always","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Strongly disagree","Neutral","Agree","Disagree","Disagree","Neutral","Neutral","","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","4 (Moderate)","Not Real","6 (Very Severe)","Real","3 (Mild)","Real","2 (Very Mild)","Not Real","3 (Mild)","Not Real","2 (Very Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Not Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"31","1980-01-01 00:00:00","6","en","726283069","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","3 (Mild)","Strongly agree","Strongly agree","Disagree","Strongly disagree","Strongly agree","Never","Often","Sometimes","Sometimes","Often","Often","Rarely","Rarely","Neutral","Agree","Strongly agree","Disagree","Strongly agree","Disagree","Agree","","3 (Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","3 (Mild)","Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Not Real","4 (Moderate)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"32","1980-01-01 00:00:00","6","en","1369166579","","Yes","No","Yes","No","No","Less than 5 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","","5 (Severe)","5 (Severe)","6 (Very Severe)","6 (Very Severe)","4 (Moderate)","1 (Not Severe at All)","7 (Extremely Severe)","4 (Moderate)","Neutral","Agree","Strongly disagree","Agree","Strongly agree","Often","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Strongly agree","","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","5 (Severe)","Real","5 (Severe)","Real","2 (Very Mild)","Not Real","1 (Not Severe at All)","Not Real","5 (Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","2 (Very Mild)","Real","3 (Mild)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"33","1980-01-01 00:00:00","6","en","1850556634","","Yes","Yes","No","No","No","","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3 (Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","","","2 (Very Mild)","Real","5 (Severe)","Real","Female","","Under 18 years old","No","No","No","Yes","No","No"
"34","1980-01-01 00:00:00","6","en","1456639484","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Often","Sometimes","Always","Sometimes","Always","Always","Always","Sometimes","Disagree","Strongly disagree","Agree","Strongly disagree","Disagree","Agree","Strongly disagree","","3 (Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Not Real","5 (Severe)","Real","6 (Very Severe)","Not Real","6 (Very Severe)","Not Real","4 (Moderate)","Not Real","6 (Very Severe)","Not Real","7 (Extremely Severe)","Not Real","5 (Severe)","Not Real","6 (Very Severe)","Real","5 (Severe)","Not Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"35","1980-01-01 00:00:00","6","en","1196818366","","Yes","No","Yes","No","No","5 to 10 hours","Yes","No","No","No","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","4 (Moderate)","4 (Moderate)","5 (Severe)","4 (Moderate)","6 (Very Severe)","4 (Moderate)","4 (Moderate)","4 (Moderate)","Agree","Neutral","Strongly disagree","Neutral","Agree","Often","Often","Rarely","Rarely","Always","Always","Often","Often","Strongly disagree","Disagree","Agree","Disagree","Neutral","Agree","Strongly disagree","","1 (Not Severe at All)","","1 (Not Severe at All)","","6 (Very Severe)","","6 (Very Severe)","","7 (Extremely Severe)","","1 (Not Severe at All)","","3 (Mild)","","7 (Extremely Severe)","","3 (Mild)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","5 (Severe)","","1 (Not Severe at All)","","Male","","Over 35 years old","Yes","No","No","No","No","No"
"36","1980-01-01 00:00:00","6","en","1620723620","","Yes","Yes","No","No","No","","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3 (Mild)","Real","5 (Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"37","1980-01-01 00:00:00","6","en","2059081449","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","Neutral","Strongly agree","Neutral","Disagree","Agree","Sometimes","Sometimes","Never","Never","Often","Often","Never","Never","Strongly disagree","Disagree","Strongly agree","Strongly disagree","Agree","Agree","Disagree","","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Non-binary","","25 - 35 years old","Yes","No","No","No","No","No"
"38","1980-01-01 00:00:00","6","en","1558687563","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Always","Always","Always","Always","Always","Always","Always","Always","Strongly disagree","Disagree","Strongly agree","Disagree","Neutral","Strongly agree","Strongly disagree","","3 (Mild)","Real","4 (Moderate)","","5 (Severe)","","6 (Very Severe)","Real","4 (Moderate)","Real","5 (Severe)","","5 (Severe)","","5 (Severe)","Real","5 (Severe)","Real","6 (Very Severe)","","7 (Extremely Severe)","Real","5 (Severe)","","5 (Severe)","","5 (Severe)","Real","Non-binary","","25 - 35 years old","Yes","No","No","No","No","No"
"39","1980-01-01 00:00:00","6","en","1943934434","","Yes","No","Yes","No","No","5 to 10 hours","No","Yes","No","No","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","","5 (Severe)","3 (Mild)","7 (Extremely Severe)","6 (Very Severe)","5 (Severe)","5 (Severe)","5 (Severe)","3 (Mild)","Neutral","Agree","Agree","Disagree","Strongly agree","Sometimes","Sometimes","Often","Often","Always","Always","Often","Often","Disagree","Neutral","Agree","Disagree","Agree","Neutral","Neutral","","3 (Mild)","","4 (Moderate)","","5 (Severe)","","6 (Very Severe)","","4 (Moderate)","","2 (Very Mild)","","5 (Severe)","","6 (Very Severe)","","6 (Very Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","4 (Moderate)","","5 (Severe)","","6 (Very Severe)","","Male","","25 - 35 years old","Yes","No","No","No","No","No"
